% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=183862, Fri Dec  1 01:35:50 2017
1 9 0.852679339848 1.0 -2.46447006227 -2.4644700622706450e+00 -2.09968904619 -1.6293892732 1.0 1.0 1.0 1.0
2 17 0.75317073452 1.05604056624 -2.48411844453 -2.4841184445321529e+00 -1.56022683264 -1.57923616799 1.0 1.0 1.0 1.0
3 25 0.776478705506 1.12543040296 -2.48411844453 -2.1697103644998990e+00 -1.88629164169 -1.37395491758 1.0 1.0 1.0 1.0
4 33 0.767431145465 1.26793010969 -2.48411844453 -2.4752658790940449e+00 -1.95909182127 -1.97765581937 1.0 1.0 1.0 1.0
5 41 0.742324620366 1.22399595749 -2.48411844453 -2.4374070072100018e+00 -2.01334469223 -1.77853540003 1.18262000225 1.18262000225 1.18262000225 1.18262000225
6 49 0.652960046206 1.2012919691 -2.48411844453 -2.4202130429366679e+00 -2.08297680941 -1.47328482816 1.18262000225 1.18262000225 1.18262000225 1.18262000225
7 57 0.693536275554 1.31836681274 -2.48411844453 -2.0037435166676913e+00 -1.8871280141 -2.02868183322 1.18262000225 1.18262000225 1.18262000225 1.18262000225
8 65 0.716513779158 1.53154114472 -2.48411844453 -2.0591542236448728e+00 -1.73335750254 -1.75560871936 1.18262000225 1.18262000225 1.18262000225 1.18262000225
9 73 0.657049093185 1.54267587827 -2.48411844453 -2.3723282824945122e+00 -1.74287113212 -1.3846991255 1.18262000225 1.18262000225 1.18262000225 1.18262000225
10 81 0.741870455752 1.6131707043 -2.48411844453 -2.1636062193815357e+00 -1.77777345206 -1.62315819852 1.18262000225 1.18262000225 1.18262000225 1.18262000225
11 89 0.641942368586 1.72794436384 -2.48411844453 -2.1088990539243282e+00 -1.79794086698 -1.93005169713 1.18262000225 1.18262000225 1.18262000225 1.18262000225
12 97 0.605926449785 1.75765242982 -2.48411844453 -2.2964411112166125e+00 -1.75083578812 -1.65488667608 1.18262000225 1.18262000225 1.18262000225 1.18262000225
13 105 0.538430545154 1.76294549974 -2.48411844453 -2.4711988086585808e+00 -1.79182320488 -1.54990368196 1.18262000225 1.18262000225 1.18262000225 1.18262000225
14 113 0.581711069256 1.69150776896 -2.48411844453 -2.4752057562680125e+00 -2.11185957529 -1.5383357904 1.18262000225 1.18262000225 1.18262000225 1.18262000225
15 121 0.624711973697 1.70875594859 -2.48411844453 -2.2060139737916806e+00 -2.04540301255 -1.6914907312 1.18262000225 1.18262000225 1.18262000225 1.18262000225
16 129 0.592034213968 1.70656098121 -2.55972419394 -2.5597241939365287e+00 -2.04460452858 -1.59681657266 1.18262000225 1.18262000225 1.18262000225 1.18262000225
17 137 0.605003476533 1.67648551304 -2.55972419394 -2.3908878187849791e+00 -1.79287442693 -1.69777469789 1.18262000225 1.18262000225 1.18262000225 1.18262000225
18 145 0.613478927842 1.81422239275 -2.55972419394 -2.3472712213296631e+00 -1.99528687182 -1.5018877029 1.18262000225 1.18262000225 1.18262000225 1.18262000225
19 153 0.585862764149 2.01259351673 -2.55972419394 -2.3823607015693096e+00 -2.00039617246 -1.53475986719 1.18262000225 1.18262000225 1.18262000225 1.18262000225
20 161 0.549786422804 2.09331232745 -2.55972419394 -2.2233273132292259e+00 -1.92410984296 -1.61165241563 1.18262000225 1.18262000225 1.18262000225 1.18262000225
21 169 0.597360347842 1.97827951389 -2.55972419394 -2.3351580463022654e+00 -2.00045649057 -1.89560584114 1.18262000225 1.18262000225 1.18262000225 1.18262000225
22 177 0.628667563 2.3357610784 -2.61970586406 -2.6197058640572228e+00 -1.83627449894 -1.54522023812 1.18262000225 1.18262000225 1.18262000225 1.18262000225
23 185 0.642295310119 2.41880957112 -2.61970586406 -2.5397971443600826e+00 -1.91629375873 -1.34771687729 1.18262000225 1.18262000225 1.18262000225 1.18262000225
24 193 0.497619298092 2.50122500498 -2.73084164784 -2.7308416478372353e+00 -2.32314242752 -1.87752583762 1.18262000225 1.18262000225 1.18262000225 1.18262000225
25 201 0.426134282797 2.54113961655 -2.73084164784 -2.4507595504895749e+00 -2.11516495888 -1.46245074256 1.18262000225 1.18262000225 1.18262000225 1.18262000225
