% # iter+eval+sigma+0+fitness+xbest, seed=235901, Fri Dec  1 02:59:50 2017
1 11 0.901520087644 0 -2.18973437176 3.70961252073 3.5 1.96249175307 3.5 -1.37247663213 0.226874648811 0.474470862894 -1.3925986584
2 21 0.992036311925 0 -1.99040244739 4.0 3.5 4.0 3.5 -3.0 0.150966455099 -2.36365600191 -3.35484091131
3 31 1.00305332966 0 -2.06717813082 1.95786759071 3.5 2.00635420982 3.5 -0.0130633287935 3.5 -0.871037171202 -2.54323885297
4 41 0.949418121821 0 -1.90205702135 0.101982095387 3.33308996185 3.40928976438 3.5 4.0 -0.411367039716 -0.0530498277456 -0.0756740771237
5 51 0.908625723946 0 -1.93447423629 4.0 3.5 1.85451648675 3.5 -3.0 3.5 -3.0 -1.97361464353
6 61 0.869974998997 0 -2.12196608212 1.67511460573 3.5 -1.57647256345 1.8597240761 -0.953169773526 -0.778075484575 -1.81317415124 -0.6506288722
7 71 0.833519164853 0 -2.04640761162 3.64774652637 3.5 1.29423440328 0.272331911075 1.76674267285 0.196427666508 -3.0 -2.24737499522
8 81 0.75999177508 0 -2.20608839868 3.86897008136 0.981435914759 2.15033637265 -0.327586709843 -0.767378569348 0.286737614584 -1.69422378109 -1.47994952164
9 91 0.745005798722 0 -2.43672664973 2.04861580574 0.718010718722 0.138518608864 -1.55766715685 1.23737181889 1.19084134944 -0.0501625052729 1.32791686948
10 101 0.780172584731 0 -2.20803547457 1.28494196555 -0.739564827771 -1.60555107195 -0.480890687009 0.9724264032 -1.12800022729 1.6815153917 1.00627971416
11 111 0.677618131539 0 -2.21023122372 1.22796034722 1.52222328216 1.02928855616 -0.290609791139 2.56107876022 1.55066780983 0.316019292571 -0.195199476751
12 121 0.667602117463 0 -2.43892561733 0.696341809402 -1.10418938133 0.197246561921 -1.41431019514 -0.260995178584 1.00637485836 1.2353653725 1.0611162866
13 131 0.6357479223 0 -1.93089397894 2.70146328404 -0.761485649239 3.48044455573 -3.5 -3.0 1.00331795807 0.445187385806 0.0855470656172
14 141 0.679397668743 0 -2.23109018796 4.0 0.499629322196 4.0 2.43816660998 -2.21226483874 -0.50680970862 -0.257213095923 -0.468530709199
15 151 0.756002588465 0 -2.10269161695 3.68834585683 -1.3346307755 4.0 2.56223414652 -1.86275759212 1.35487918711 -1.66805537462 -1.43922214725
16 161 0.716969787394 0 -1.97864697411 3.00833022267 -2.53353714929 4.0 3.5 -2.72547061607 -0.00587713833598 0.399278261942 -1.3924838189
17 171 0.635861344625 0 -2.11986291548 2.03991569498 2.22142015548 4.0 1.95091294187 -1.75775864472 0.821028722901 -1.96278597952 -1.88295282139
18 181 0.596237873614 0 -2.07025801673 3.21286086492 -2.61321508949 1.87572805465 -0.955930224126 -0.141526860224 -1.21244601179 -0.107319752333 -1.09292775913
19 191 0.561106682348 0 -2.01862814314 1.14969590827 -0.393978048396 2.84580100094 0.342351768975 -0.746285184155 0.639832965201 0.603959293887 -0.618640427991
20 201 0.521316072156 0 -2.10734456748 1.6088900729 -0.100662535276 2.27697237923 -0.998727396151 1.24637954043 0.210868123206 -2.15599651348 -0.465255103268
