% # iter+eval+sigma+0+fitness+xbest, seed=362115, Sat Dec  2 22:43:39 2017
1 12 0.942550713451 0 -1.15584602558 0.420338122272 0.46504557533 0.454978274928 1.0 500.0 1178.5290692 3938.51062879 1.35167263791 6.0355363948 0.01 7.08566567869 2.4959147291
2 23 0.910809060483 0 -2.00830700445 0.05 0.347892863 0.527753023293 5.15569144732 1633.0380296 864.618269426 8413.99630861 0.685934549841 84.9348408352 1.33774550576 32.6566522925 1.98497731848
3 34 0.920640741233 0 -1.19746613933 1.36708922974 0.1 0.458120057135 3.9643475632 4568.62211309 2434.127843 4731.63191015 0.01 38.4561940244 0.01 100.0 1.42188503984
4 45 0.904179902818 0 -0.812452604813 0.199170756085 0.1 0.528595368681 2.76555007031 1907.26501296 2149.98395064 6873.07354351 0.293886730422 83.872573334 2.29139555854 1.0 3.23732993087
5 56 0.837343432982 0 -0.912453440101 0.123569024877 0.1 0.512153612933 3.0754969449 3248.09444657 500.0 6233.51675312 0.279847645965 52.4126843545 2.94528725491 6.21359109701 2.74456127887
6 67 0.773735536118 0 -0.799021360236 0.05 0.606861184 0.864458533805 1.9335465585 3083.81864506 1138.15929067 5574.51215641 0.782417386167 100.0 0.31583452043 18.1684168589 3.42307421002
7 78 0.724666547256 0 -2.43157126315 0.264395809755 0.378629421795 0.379821893398 5.59152302421 2491.49690932 2355.39344291 7175.6934761 0.105647352934 90.5469140297 0.01 89.7179006608 2.82163695798
8 89 0.650679249034 0 -1.18565378746 0.115026546792 0.705958969527 0.808891220399 3.68135571853 2882.9921338 1596.46812393 4607.37321252 0.456835235203 93.824269032 0.01 89.4030111164 3.58755850888
9 100 0.644047137583 0 -2.12182837881 0.728194146781 0.401771343662 0.657072093713 3.42010919813 3736.19600503 932.455089252 4872.90926939 0.145713273712 70.5658018337 0.01 60.5266825616 2.85045100107
10 111 0.631483281742 0 -2.00309776987 0.299020311347 0.322579368058 0.713141513532 3.06314484487 4248.69964325 1736.8774124 3324.94453172 0.101598432078 70.2394777833 0.01 60.2249024631 3.25144181951
11 122 0.58558149592 0 -1.61430554439 0.05 0.187476984642 0.743813137634 6.79943194344 3620.10416876 1374.89171912 6141.98119411 1.5976717036 59.1569642786 0.734520641076 22.8164904059 3.7248341424
12 133 0.610143530236 0 -1.66006784662 0.05 0.23686394309 0.903389343055 3.81407283536 4899.73529289 2018.59474265 6390.95763377 1.41417672794 29.6168391382 0.01 11.7758698179 3.39974623957
13 144 0.625296549848 0 -1.68722361187 0.05 0.1 0.672958534005 5.53019519788 5000.0 1653.20393343 3520.20814824 1.31606342728 41.6488392233 0.01 46.5940778433 3.58950714517
14 155 0.619350807584 0 -1.83204533392 0.05 0.1 0.898191404259 4.88850566851 4566.90344712 1626.8617686 3649.12435165 1.87151081886 28.9525598659 0.434737269874 27.9412242803 4.62488151153
15 166 0.61464172175 0 -1.91272936253 0.0610474537952 0.174711596408 0.735614515004 3.41461133748 4948.82137642 1133.38124456 1240.77941074 2.12508771222 21.125151938 0.01 50.1114190535 3.77062746474
16 177 0.58860131338 0 -1.92447208725 0.05 0.221797192317 0.552294650464 2.45699466182 3630.15209694 1557.93118587 2208.03498546 1.09593571785 43.4347557423 0.01 59.6869875903 2.93031897179
17 188 0.569903217794 0 -1.80217423848 0.05 0.1 0.742461827129 3.83269499405 5000.0 1568.93519591 2968.1083101 0.676792080803 60.8323474367 0.729205102926 57.2489651728 3.67970771423
18 199 0.551834422476 0 -2.05620873627 0.05 0.268109181818 0.493071983275 3.91587455043 3751.57968146 2095.91448958 1000.0 1.78818819719 21.6051185476 0.01 20.2815732121 3.27288417769
19 210 0.54762598193 0 -2.08445379977 0.05 0.1 0.256152702983 1.0 2584.20963546 500.0 1000.0 0.633788031322 27.1602133809 0.647667019049 42.5275542059 3.36744595915
