% # columns=["iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=223880, Fri Dec  1 02:15:13 2017
0 1 1 0 0 1.00000019373 0.999999764517 1.00000016966 1.00000001777 1.00000022666 1.00000021539
1 10 0.919486992187 0 0 0.902506946382 0.898263553548 0.882222159394 0.893835987664 0.932466102671 0.90163462595
2 19 0.878514753389 0 0 0.841043667089 0.862754037446 0.818211683011 0.856558145191 0.894993768481 0.835631201942
3 28 0.920263779959 0 0 0.888962517049 0.878785786925 0.840419008858 0.87143097199 1.00552993055 0.864528615237
4 37 0.876553020064 0 0 0.853281036575 0.824704853485 0.770405857155 0.803997783266 0.935955309106 0.800713364354
5 46 0.79291513697 0 0 0.753161472168 0.728786413603 0.676284212636 0.703732912658 0.822187590962 0.717031174769
6 55 0.702536502622 0 0 0.653946980626 0.627673278912 0.578060068459 0.608775933271 0.703562078292 0.637754910976
7 64 0.593043683197 0 0 0.545981750714 0.509705155975 0.484894363838 0.497198869479 0.577805550701 0.533184601424
8 73 0.531003402417 0 0 0.499828051304 0.440601472963 0.423130494253 0.431647585993 0.501191605155 0.459453725122
9 82 0.519486969037 0 0 0.490407516787 0.417529278313 0.430580858354 0.414769591631 0.490336594903 0.440659355357
10 91 0.47918191967 0 0 0.45970484904 0.375781727185 0.388217154516 0.375817442181 0.443438812283 0.397643716799
11 100 0.439367509952 0 0 0.405918248201 0.34351668678 0.353520943192 0.335528653894 0.39971940122 0.360082978715
12 109 0.357426943367 0 0 0.331613474308 0.273303362014 0.281772574405 0.264093337731 0.316080338111 0.281768872505
13 118 0.336513190232 0 0 0.300664862864 0.249115374822 0.264581897983 0.242660455686 0.302219587456 0.267370647764
14 127 0.329700535188 0 0 0.288030663806 0.238420432184 0.277120714943 0.23453607835 0.285778563283 0.260489768446
15 136 0.303354409439 0 0 0.256976564287 0.218246890318 0.246866455926 0.212781177541 0.259330725719 0.231623693279
16 145 0.302615725099 0 0 0.24807198396 0.21224690831 0.236895286191 0.21670246843 0.264502699877 0.223991399299
17 154 0.280966908136 0 0 0.228918515419 0.194935789083 0.212945152762 0.19670289732 0.237615405932 0.206081246474
18 163 0.234300781629 0 0 0.186545316019 0.158078077711 0.176049445848 0.159219230094 0.191935287486 0.165838154837
19 172 0.262945560018 0 0 0.223046309518 0.171585491223 0.211771700791 0.180343679022 0.2152297353 0.191164688924
20 181 0.267207982623 0 0 0.226884483845 0.173829425921 0.216990618915 0.180460681257 0.222133179708 0.193507988655
21 190 0.26944003728 0 0 0.224676288844 0.178305290678 0.217307897942 0.180931792513 0.226958709909 0.194284345717
22 199 0.264362570962 0 0 0.217784147227 0.173067127381 0.205919554947 0.172133895463 0.225947096172 0.187329699347
23 208 0.262960246693 0 0 0.214667486275 0.168666069861 0.218461520639 0.183625519714 0.226623510355 0.180723697307
